Software Name,Actual Spelling
(ip telephony),vozelia ip telephony
(microsoft exchange),microsoft exchange
(zapier),zapier
123 form builder,123formbuilder
1shopping cart,1shoppingcart
360 view tracker,360 view crm
3kontakt,kontakt.io
8 x 8 phone systems,8x8
8x8 global could communications,8x8
abas,abas erp
abc financial,datatrak club management software
access,microsoft access
access ally,accessally
accessally,accessally
acomba,acomba x accounting suite
acord,acorde
act on,act-on
active campaign,activecampaign
active directory,microsoft azure active director
act-on marketing automation,act-on
acuity-scheduling,acuity scheduling
acutrack fulfillment & publishing integration,acutrack fulfillment
adespresso,adespresso by hootsuite
adobe experience,adobe experience manager
adp payroll,adp workforce now
adpoint for salesforce,adpoint
adpoint go,adpoint
advance group,advanced technology group
advent apx,advent portfolio exchange (apx)
afterbuy connect,afterbuy
agresso,unit4 for travel
airbnb,airbnb for work
airr,airr
akeneo,akeneo pim
aktion,aktion associates
alcatel omnipcx office,omnipcx office rce
alertfind,aurea alertfind
allstate lead marketplace,allstate identity protection
allwebleads,all web leads
alpha trust,alphatrust prontosign
amazon ses,amazon simple email service (amazon ses)
amazonconnect,amazon connect
ambition,ambition
amember pro,amember pro
american express,american express global business travel
anypoint platform,mulesoft anypoint platform
anywhere365,anywhere365 universal contact center connector for skype for business and lync
aoe,aoe gmbh
apache cassandra,managed apache cassandra
apd,apd group (next digital)
api+webhooks,webhooks.io
apple icloud calendar,ical
appnexus,appnexus marketplace
appy pie's connect,appy pie
archiva,apache archiva
asterisk ip-pbx,asterisk
audian,aweber
aussiefast,aussie
austrailia post,australia post
authorise.net,authorize.net
autoklose,autoklose
autoquotes,autoquotes
autorize.net,authorize.net
avalara,avalara
avalara tax,avalara
avaya aura call center elite,avaya aura call center elite multichannel
avg business,avg antivirus business edition
avis,aviso
avvo.com,avvo ignite
aweber communications,basecamp
awery erp,awery aviation erp
azure,microsoft azure
barbour abi,barbour logic
basecamp classic,basecamp
bbos,blackberry os
better proposals,better proposals
beyondpricing,beyond pricing
big,(big-ip)
big commerce,bigcommerce
big_commerce,bigcommerce
billbee connect,billbee
bitdefender antivirus,bitdefender antivirus plus 2020
black box corporation,black box network services
black diamond,extremeswitching
blackrock,blackrock profit sales consulting
bling!,bling.com.br
blisstribute connect,greyhound crm
blue snap,bluesnap
blue technologes,bluenet technologies
bluestar logistics,bluestar
bombbomb,bombbomb
booker by mindbody,mindbody
boomi,dell boomi
booth,booth leads
box.net,box
braintree,braintree
bronto,bronto marketing platform
business analyze for superoffice,superoffice crm
byzo connect,greyhound crm
c zentrix,c-zentrix contact center
call source,callsource
call_rail,callrail
calltracking metrix,calltrackingmetrics
callture virtual pbx,virtual pbx
cameron,berlin cameron
canias,canias erp
cardconnect,cardconnect
career builder,careerbuilder talent network
careerbuilder,careerbuilder applicant tracking
cartbounty,cart
channeladvisor,channeladvisor
channelonline (cnet),channelonline
chargebee,chargebee
chargeover,chargeover
chargify,chargify
chatfuel for facebook,chatfuel
cheddargetter,cheddar
chrome extension,chrome remote desktop
cisco,moneyguidepro
cisco webex,cisco webex meetings
ciso webex meetings,cisco webex meetings
clearout,clearout.io
cleverreach connect,cleverreach
clew,iclew
click bank,clickbank
click dimensions,clickdimensions
click funnels,clickfunnels
clickatell,clickatell touch
clickfunnels payment integration,clickfunnels
clicksend,clicksend sms gateway
clickup,clickup
cliently,cliently
clock,clock.in
clone deal,contus group clone software
cloudscanner,cloudscanr
clubready.com,clubready
cludes connect,greyhound crm
cocoon,cocoon media management
cognito,cognito forms
comarch erp,comarch erp xt
comet,comet.ml
communigate,communigate pro
comodo,comodo antivirus
connectwise,connectwise sell
constantcontact,constant contact
contact_form,contact form 7
contactually,contactually by compass
copley,copley consulting group
cpms,cpms
crazy-egg,crazy egg
cs cart,cs-cart multi-vendor
csb system,csb-system
customer 360,manthan customer360
dashboards,dashboards.io
data anonymizer,dot anonymizer
databasics,databasics time
databridge for superoffice,databridger
datev export,datev
dbx for pipeliner crm,dbx converter tool
deadline funnel,deadline funnel
dealine funnel,deadline funnel
dear,dear inventory
decision resources,"decision resources, inc."
dejaoffice,dejaoffice pc crm
deltek,deltek vision
demandbase,demandbase
demandware,salesforce b2c commerce
dialpad,dialpad talk
dibac,dibcase legal case management
digioh,digioh
digitalchina,digital china information service company/digital china cloud technology limited
displet,tribus source (formerly displet)
docker,docker platform
docu sign,docusign
docusing,docusign
donate2,donateq
dotdigital,dotdigital engagement cloud
dotmailer,dotdigital engagement cloud
drupal module,drupal
dst sales connect,dst salesconnect
d-tools,system integrator (si)
dxc technology,dxc.technology
dyl,dyl business phone service
dynacom,dynacom enterprise+ edition
